,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,value,datetime,time,hour
0,0,0,0,0,41.737171999999994,20/03/2017 00:00,1489970000000.0,00
1,1,1,1,1,41.999798,20/03/2017 00:00,1489970000000.0,00
2,2,2,2,2,42.131111,20/03/2017 00:00,1489970000000.0,00
3,3,3,3,3,42.236162,20/03/2017 00:00,1489970000000.0,00
4,4,4,4,4,42.157374,20/03/2017 00:00,1489970000000.0,00
5,5,5,5,5,41.789697,20/03/2017 00:00,1489970000000.0,00
17,6,17,6,17,40.502828,20/03/2017 00:01,1489970000000.0,00
16,7,16,7,16,40.581616,20/03/2017 00:01,1489970000000.0,00
15,8,15,8,15,40.739191999999996,20/03/2017 00:01,1489970000000.0,00
14,9,14,9,14,40.739191999999996,20/03/2017 00:01,1489970000000.0,00
13,10,13,10,13,40.975556,20/03/2017 00:01,1489970000000.0,00
12,11,12,11,12,41.343232,20/03/2017 00:01,1489970000000.0,00
11,12,11,12,11,41.605859,20/03/2017 00:01,1489970000000.0,00
10,13,10,13,10,41.999798,20/03/2017 00:01,1489970000000.0,00
9,14,9,14,9,42.183636,20/03/2017 00:01,1489970000000.0,00
8,15,8,15,8,41.868485,20/03/2017 00:01,1489970000000.0,00
7,16,7,16,7,41.579596,20/03/2017 00:01,1489970000000.0,00
6,17,6,17,6,41.527071,20/03/2017 00:01,1489970000000.0,00
28,18,28,18,28,41.264444,20/03/2017 00:02,1489970000000.0,00
27,19,27,19,27,41.553333,20/03/2017 00:02,1489970000000.0,00
26,20,26,20,26,41.605859,20/03/2017 00:02,1489970000000.0,00
25,21,25,21,25,41.474545,20/03/2017 00:02,1489970000000.0,00
24,22,24,22,24,41.894746999999995,20/03/2017 00:02,1489970000000.0,00
29,23,29,23,29,41.028081,20/03/2017 00:02,1489970000000.0,00
22,24,22,24,22,41.737171999999994,20/03/2017 00:02,1489970000000.0,00
21,25,21,25,21,41.500808,20/03/2017 00:02,1489970000000.0,00
20,26,20,26,20,40.896768,20/03/2017 00:02,1489970000000.0,00
19,27,19,27,19,40.42404000000001,20/03/2017 00:02,1489970000000.0,00
18,28,18,28,18,40.529090999999994,20/03/2017 00:02,1489970000000.0,00
23,29,23,29,23,41.868485,20/03/2017 00:02,1489970000000.0,00
40,30,40,30,40,40.81798,20/03/2017 00:03,1489970000000.0,00
39,31,39,31,39,41.264444,20/03/2017 00:03,1489970000000.0,00
38,32,38,32,38,41.343232,20/03/2017 00:03,1489970000000.0,00
37,33,37,33,37,41.710909,20/03/2017 00:03,1489970000000.0,00
36,34,36,34,36,42.209899,20/03/2017 00:03,1489970000000.0,00
41,35,41,35,41,40.712928999999995,20/03/2017 00:03,1489970000000.0,00
34,36,34,36,34,42.183636,20/03/2017 00:03,1489970000000.0,00
33,37,33,37,33,42.104848,20/03/2017 00:03,1489970000000.0,00
