,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,value,time,datetime,hour
0,0,0,0,0,23.498788,1489970000000.0,20/03/2017 00:00,00
11,5,6,8,3,23.483757999999998,1489970000000.0,20/03/2017 00:00,00
10,1,11,5,6,23.510545,1489970000000.0,20/03/2017 00:00,00
9,2,10,1,11,23.498909,1489970000000.0,20/03/2017 00:00,00
7,4,7,4,7,23.491636,1489970000000.0,20/03/2017 00:00,00
6,8,3,9,2,23.491273,1489970000000.0,20/03/2017 00:00,00
8,3,9,2,10,23.482909,1489970000000.0,20/03/2017 00:00,00
4,7,4,7,4,23.491273,1489970000000.0,20/03/2017 00:00,00
3,9,2,10,1,23.483757999999998,1489970000000.0,20/03/2017 00:00,00
2,10,1,11,5,23.487273000000002,1489970000000.0,20/03/2017 00:00,00
1,11,5,6,8,23.498909,1489970000000.0,20/03/2017 00:00,00
5,6,8,3,9,23.530909,1489970000000.0,20/03/2017 00:00,00
19,16,20,15,21,23.523636,1489970000000.0,20/03/2017 00:01,00
23,17,18,14,22,23.496,1489970000000.0,20/03/2017 00:01,00
22,12,19,16,20,23.496,1489970000000.0,20/03/2017 00:01,00
21,13,23,17,18,23.510545,1489970000000.0,20/03/2017 00:01,00
20,15,21,13,23,23.496,1489970000000.0,20/03/2017 00:01,00
18,14,22,12,19,23.491636,1489970000000.0,20/03/2017 00:01,00
14,22,12,19,16,23.487273000000002,1489970000000.0,20/03/2017 00:01,00
16,20,15,21,13,23.496,1489970000000.0,20/03/2017 00:01,00
15,21,13,23,17,23.507635999999998,1489970000000.0,20/03/2017 00:01,00
13,23,17,18,14,23.503273,1489970000000.0,20/03/2017 00:01,00
12,19,16,20,15,23.528000000000002,1489970000000.0,20/03/2017 00:01,00
17,18,14,22,12,23.498909,1489970000000.0,20/03/2017 00:01,00
31,27,33,26,34,23.487273000000002,1489970000000.0,20/03/2017 00:02,00
35,24,31,27,33,23.530909,1489970000000.0,20/03/2017 00:02,00
34,25,35,24,31,23.491636,1489970000000.0,20/03/2017 00:02,00
33,26,34,25,35,23.487273000000002,1489970000000.0,20/03/2017 00:02,00
30,28,30,28,30,23.503273,1489970000000.0,20/03/2017 00:02,00
32,29,32,29,32,23.491636,1489970000000.0,20/03/2017 00:02,00
